date,state,district,total,anomaly_score
01-03-2025,Andhra Pradesh,Cuddapah,785,0.01855551057966398
01-03-2025,Maharashtra,Hingoli,1251,0.06378834188966742
01-03-2025,Bihar,Madhepura,749,0.015877745372966823
01-03-2025,Maharashtra,Solapur,874,0.02772797029274754
01-03-2025,Punjab,Jalandhar,773,0.01801923259755811
01-03-2025,Uttar Pradesh,Sitapur,875,0.02772797029274754
01-03-2025,Punjab,Bathinda,1160,0.05926409043068592
01-03-2025,Punjab,Gurdaspur,2574,0.08911423162438226
01-03-2025,Andhra Pradesh,Kurnool,1011,0.045282612491180374
01-03-2025,Rajasthan,Udaipur,698,0.0042026035735486245
01-03-2025,Bihar,Bhojpur,875,0.02772797029274754
01-03-2025,Uttar Pradesh,Chandauli,711,0.005784453741542128
01-03-2025,Chhattisgarh,Balod,1370,0.071764946991978
01-03-2025,Bihar,Gaya,1176,0.05926409043068592
01-03-2025,Maharashtra,Raigarh,2496,0.08736341363431355
01-03-2025,Odisha,Koraput,666,0.0026239609237379558
01-03-2025,Madhya Pradesh,Ujjain,1126,0.0581368486994831
01-03-2025,Meghalaya,West Garo Hills,1080,0.050846840800042536
01-03-2025,Madhya Pradesh,Dhar,982,0.04030689361253026
01-03-2025,Andhra Pradesh,Hyderabad,681,0.0020984583644443333
01-03-2025,Bihar,Vaishali,1208,0.05926409043068592
01-03-2025,Bihar,Saharsa,1694,0.0763570451697706
01-03-2025,Madhya Pradesh,Ratlam,1475,0.07119268040943305
01-03-2025,Maharashtra,Hingoli,1626,0.07348407170086846
01-03-2025,Uttar Pradesh,Balrampur,2592,0.08911423162438226
01-03-2025,Gujarat,Ahmedabad,1152,0.05926409043068592
01-03-2025,Uttar Pradesh,Bijnor,909,0.03481373644403185
01-03-2025,Uttar Pradesh,Hardoi,874,0.02772797029274754
01-03-2025,Rajasthan,Bharatpur,786,0.01855551057966398
01-03-2025,Gujarat,Surendra Nagar,1123,0.0581368486994831
01-03-2025,Maharashtra,Mumbai,955,0.03645778293320845
01-03-2025,Rajasthan,Jodhpur,1207,0.05926409043068592
